macro_region,total_stations,avg_fast_predicted_share,avg_demand,avg_future_demand,avg_future_gap,stations_to_upgrade,share_models_since_2020,share_models_since_2023
Canada,16276,0.4756725798717719,0.8385855157532939,0.97,0.49432742012822806,8045.67309000704,0.8,0.0
China,12,0.4527041854657116,0.8942497355310087,0.97,0.5172958145342883,6.20754977441146,0.7692307692307693,0.23076923076923078
European_Union,95708,0.5483718307658759,0.8920370892166337,0.9699999999999999,0.42181686747066294,49048.490950747524,0.846846846846847,0.32432432432432434
India,1187,0.6910341992681073,0.8710109347905514,0.8710109347905514,0.1799767355224441,213.63238506514114,0.0,0.0
Japan,1639,0.4561885281973593,0.8704182151893617,0.97,0.5138114718026408,842.1370022845282,0.7142857142857143,0.0
Latin_America,2236,0.6665558889045531,0.8464638256037035,0.97,0.3034441110954469,931.8411825224126,1.0,0.0
Middle_East,1822,0.7914600403982018,0.8575031263667221,0.97,0.17967949662009158,369.3569864321095,0.7619047619047619,0.19047619047619047
Other,14278,0.6375422854662107,0.872226150621151,0.8725338434860813,0.24160855875709322,2916.622163730433,0.015384615384615385,0.007692307692307693
United_Kingdom,26812,0.4152586777487808,0.8923172369087345,0.97,0.5547413222512192,14873.724332199688,0.8666666666666667,0.35555555555555557
United_States,80719,0.4306580115382576,0.881800972984704,0.97,0.5393419884617423,43535.14596664338,0.8333333333333334,0.26666666666666666
