country_code,macro_region,station_count,fast_actual_share,fast_predicted_share,demand_score_filled,future_demand_share,predicted_gap,future_gap_share,stations_to_upgrade,risk_level,confidence_level,share_models_since_2020,share_models_since_2023
MT,European_Union,55,0.0,0.1241838367194934,0.8920370892166337,0.97,0.7678532524971403,0.8458161632805066,46.519888980427865,High,standard,0.8468468468468469,0.32432432432432434
NL,European_Union,8091,0.0437523173896922,0.1318148047781711,0.8920370892166337,0.97,0.7602222844384625,0.8381851952218289,6781.756414539817,High,standard,0.8468468468468469,0.32432432432432434
VN,Other,4,0.0,0.1723633947608968,0.9499999637795312,0.97,0.7776365690186344,0.7976366052391032,3.1905464209564127,High,low,1.0,0.5
LU,European_Union,88,0.0568181818181818,0.1764850083253221,0.8920370892166337,0.97,0.7155520808913116,0.7935149916746779,69.82931926737166,High,standard,0.8468468468468469,0.32432432432432434
MX,Latin_America,579,0.0690846286701209,0.2072589619593576,0.8464638256037036,0.97,0.6392048636443459,0.7627410380406423,441.6270610255319,High,standard,1.0,0.0
AD,Other,96,0.0625,0.1960853443843311,0.8710109347905514,0.8710109347905514,0.6749255904062202,0.6749255904062202,64.79285667899714,High,standard,0.0,0.0
FR,European_Union,13812,0.1298146539241239,0.3265723590642249,0.8920370892166337,0.97,0.5654647301524087,0.6434276409357751,8887.022576604926,High,standard,0.8468468468468469,0.32432432432432434
BE,European_Union,1245,0.1285140562248996,0.3303401228014181,0.8920370892166337,0.97,0.5616969664152156,0.6396598771985819,796.3765471122344,High,standard,0.8468468468468469,0.32432432432432434
DK,European_Union,2178,0.1336088154269972,0.3356481163564032,0.8920370892166337,0.97,0.5563889728602305,0.6343518836435968,1381.6184025757539,High,standard,0.8468468468468469,0.32432432432432434
DE,European_Union,23322,0.139653546008061,0.3660551582361913,0.8920370892166337,0.97,0.5259819309804423,0.6039448417638087,14085.201599615546,High,standard,0.8468468468468469,0.32432432432432434
MC,Other,36,0.0277777777777777,0.2797359383366705,0.8710109347905514,0.8710109347905514,0.5912749964538808,0.5912749964538808,21.28589987233971,High,low,0.0,0.0
CY,European_Union,91,0.1428571428571428,0.3827995993102102,0.8920370892166337,0.97,0.5092374899064235,0.5872004006897897,53.43523646277087,High,standard,0.8468468468468469,0.32432432432432434
EC,Latin_America,21,0.0,0.4115603871156593,0.8464638256037036,0.97,0.4349034384880442,0.5584396128843407,11.727231870571156,High,low,1.0,0.0
GB,United_Kingdom,26812,0.1654110099955243,0.4152586777487808,0.8923172369087345,0.97,0.4770585591599537,0.5547413222512192,14873.724332199688,High,standard,0.8666666666666667,0.35555555555555557
AT,European_Union,1280,0.1765625,0.4176853902881666,0.8920370892166337,0.97,0.4743516989284671,0.5523146097118334,706.9627004311468,High,standard,0.8468468468468469,0.32432432432432434
IM,Other,41,0.048780487804878,0.3210553613680871,0.8710109347905514,0.8710109347905514,0.5499555734224642,0.5499555734224643,22.548178510321033,High,low,0.0,0.0
US,United_States,80719,0.176798523272092,0.4306580115382576,0.881800972984704,0.97,0.4511429614464463,0.5393419884617423,43535.14596664338,High,standard,0.8333333333333334,0.26666666666666666
KE,Other,12,0.0,0.3491138510548502,0.8710109347905514,0.8710109347905514,0.5218970837357011,0.5218970837357011,6.262765004828413,High,low,0.0,0.0
AE,Middle_East,131,0.1755725190839694,0.4483388756499104,0.8575031263667221,0.97,0.4091642507168117,0.5216611243500896,68.33760728986174,High,standard,0.7619047619047619,0.19047619047619047
CN,China,12,0.25,0.4527041854657116,0.8942497355310087,0.97,0.4415455500652971,0.5172958145342883,6.20754977441146,High,low,0.7692307692307693,0.23076923076923078
JP,Japan,1639,0.1958511287370347,0.4561885281973593,0.8704182151893617,0.97,0.4142296869920023,0.5138114718026408,842.1370022845282,High,standard,0.7142857142857143,0.0
FI,European_Union,1873,0.194874532835024,0.4607261248844833,0.8920370892166337,0.97,0.4313109643321504,0.5092738751155167,953.8699680913628,High,standard,0.8468468468468469,0.32432432432432434
LK,Other,58,0.1379310344827586,0.3704054682222625,0.8710109347905514,0.8710109347905514,0.5006054665682889,0.5006054665682889,29.035117060960754,High,standard,0.0,0.0
SM,Other,25,0.0,0.3714060931754996,0.8710109347905514,0.8710109347905514,0.4996048416150517,0.49960484161505175,12.490121040376295,High,low,0.0,0.0
CA,Canada,16276,0.2002334725976898,0.4756725798717719,0.8385855157532939,0.97,0.3629129358815219,0.49432742012822806,8045.67309000704,High,standard,0.8,0.0
SZ,Other,1,0.0,0.3870800379986827,0.8710109347905514,0.8710109347905514,0.4839308967918686,0.4839308967918687,0.4839308967918687,High,low,0.0,0.0
DO,Latin_America,368,0.1929347826086956,0.4959039065275614,0.8464638256037036,0.97,0.3505599190761422,0.4740960934724386,174.46736239785739,High,standard,1.0,0.0
IT,European_Union,10351,0.2209448362477055,0.50878735282244,0.8920370892166337,0.97,0.3832497363941937,0.46121264717755994,4774.012110934923,High,standard,0.8468468468468469,0.32432432432432434
NAM,Other,1,0.0,0.4100569174489258,0.8710109347905514,0.8710109347905514,0.4609540173416255,0.46095401734162555,0.46095401734162555,High,low,0.0,0.0
SG,Other,9,0.1111111111111111,0.4172137821055582,0.8710109347905514,0.8710109347905514,0.4537971526849931,0.45379715268499315,4.084174374164938,High,low,0.0,0.0
HU,European_Union,864,0.224537037037037,0.5173079814021249,0.8920370892166337,0.97,0.3747291078145088,0.4526920185978751,391.12590406856407,High,standard,0.8468468468468469,0.32432432432432434
PE,Latin_America,7,0.0,0.5355931025752477,0.8464638256037036,0.97,0.3108707230284558,0.43440689742475225,3.0408482819732656,High,low,1.0,0.0
